year,site,nest,species,exp,type,laid,hatch,manip,ring,mate_ring,chick1,chick2,chick3,chick4,chick5,chick6,comments,field_sex_focal,field_sex_mate,code,nest.id,year.cr,year.mr,year.code,first.res,last.res,first.cap,last.cap,first.cap.r,last.cap.r,laying_date,found_date,end_date,fate,latitude,longitude,no_chicks,clutch_size,laying_date.r,found_date.r,end_date.r,hatching_date.r,first.bf.adult,last.bf.adult,adult.not.seen.bf,times.adult.not.seen,total.brood.res,last.bf.adult.before.desertion,datenot.seen.after.desertion,first.bf,last.bf,chicks.alive.last,chicks.not.seen.bf,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,layingdate,check.estld,first.res.bs,last.res.bs,first.d.seen,last.d.seen,mol_sex_focal,mol_sex_mate
2006,A,1,SP,U,U,427,NA,NA,802109713,CA226,NA,NA,NA,NA,NA,NA,NA,M,F,BX.WX|SX.GM,2006-A-1,2006,2006,2006-BX.WX|SX.GM,NA,NA,05-05-06,11-06-06,05-05-06,11-06-06,427,502,512,ABAN,23.95796667,-106.90835,NA,2,27-04-06,02-05-06,12-05-06,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27-04-06,NA,NA,NA,05-05-06,11-06-06,NA,F
2006,A,3,SP,U,U,506,NA,NA,CA143,802122911,NA,NA,NA,NA,NA,NA,NA,M,F,RX.MX|RX.WX,2006-A-3,2006,2006,2006-RX.MX|RX.WX,NA,NA,12-05-06,13-06-06,12-05-06,13-06-06,506,505,519,PRED,23.95335,-106.9056667,NA,3,06-05-06,05-05-06,19-05-06,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06-05-06,NA,NA,NA,12-05-06,13-06-06,M,NA
2006,A,4,SP,U,U,504,NA,NA,CA110,CA101,NA,NA,NA,NA,NA,NA,NA,M,F,YX.MX|GX.OX,2006-A-4,2006,2006,2006-YX.MX|GX.OX,NA,NA,27-05-06,27-05-06,27-05-06,27-05-06,504,507,607,UNHATCH,23.95831667,-106.9141833,0,3,04-05-06,07-05-06,07-06-06,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04-05-06,NA,NA,NA,27-05-06,27-05-06,M,F
2006,A,5,SP,U,U,504,529,NA,CA328,802122914,CA022,CA028,NA,NA,NA,NA,NA,M,F,YX.MX|WX.WX,2006-A-5,2006,2006,2006-YX.MX|WX.WX,NA,NA,13-05-06,09-07-06,13-05-06,09-07-06,504,508,529,HATCH,23.95801667,-106.9107,2,3,04-05-06,08-05-06,29-05-06,29-05-06,529,608,619,0,9,NA,NA,529,619,604,605,29-05-06,08-06-06,19-06-06,NA,NA,29-05-06,19-06-06,04-06-06,05-06-06,29-05-06,NA,17.8,5.8,30-05-06,NA,17.1,5.8,NA,NA,NA,NA,17.8,29-05-06,0.624595469,29-05-06,03-05-06,04-05-06,-0.624595469,NA,NA,13-05-06,09-07-06,M,F
2006,A,7,SP,U,U,506,531,NA,CA1545,802122913,CA032,CA033,CA037,NA,NA,NA,NA,M,F,RX.MX|WX.YX,2006-A-7,2006,2006,2006-RX.MX|WX.YX,23-05-06,23-05-06,12-05-06,12-05-06,12-05-06,12-05-06,506,508,531,HATCH,23.95606667,-106.9091333,3,3,06-05-06,08-05-06,31-05-06,31-05-06,531,626,NA,0,17,NA,NA,531,629,629,NA,31-05-06,26-06-06,NA,NA,NA,31-05-06,29-06-06,29-06-06,NA,31-05-06,NA,18.3,6.1,31-05-06,NA,18.2,6,31-05-06,NA,16.9,6,18.3,31-05-06,2.242718447,31-05-06,03-05-06,06-05-06,-2.242718447,23-05-06,23-05-06,12-05-06,26-06-06,?,NA
2006,A,101,SP,U,U,512,606,NA,CA050,CA103,CA087,CA088,NA,NA,NA,NA,NA,M,F,WX.MX|LX.LX,2006-A-101,2006,2006,2006-WX.MX|LX.LX,NA,NA,02-06-06,02-06-06,02-06-06,02-06-06,512,512,606,HATCH,23.95165,-106.9011667,2+,3,12-05-06,12-05-06,06-06-06,06-06-06,606,615,NA,0,8,NA,NA,606,615,612,615,06-06-06,15-06-06,NA,NA,NA,06-06-06,15-06-06,12-06-06,15-06-06,06-06-06,NA,17.9,6.4,07-06-06,NA,17.5,6.3,NA,NA,NA,NA,17.9,06-06-06,0.948220065,06-06-06,11-05-06,12-05-06,-0.948220065,NA,NA,02-06-06,15-06-06,M,F
2006,A,103,SP,U,U,511,605,NA,CA052,CA102,CA075,CA076,CA086,NA,NA,NA,NA,M,F,WX.MX|LX.OX,2006-A-103,2006,2006,2006-WX.MX|LX.OX,NA,NA,02-06-06,02-06-06,02-06-06,02-06-06,511,513,605,HATCH,23.95255,-106.9052167,3,3,11-05-06,13-05-06,05-06-06,05-06-06,605,619,NA,0,5,NA,NA,605,619,608,619,05-06-06,19-06-06,NA,NA,NA,05-06-06,19-06-06,08-06-06,19-06-06,05-06-06,NA,18.8,6.8,05-06-06,NA,18.9,6.9,06-06-06,NA,17.9,6.6,18.9,05-06-06,4.184466019,05-06-06,06-05-06,11-05-06,-4.184466019,NA,NA,02-06-06,19-06-06,M,F
2006,A,104,SP,U,U,516,610,NA,CA051,802109760,CA207,CA209,NA,NA,NA,NA,NA,M,F,WX.MX|LX.GX,2006-A-104,2006,2006,2006-WX.MX|LX.GX,NA,NA,02-06-06,07-06-06,02-06-06,07-06-06,516,513,610,HATCH,23.95316667,-106.90465,2,3,16-05-06,13-05-06,10-06-06,10-06-06,614,626,NA,0,6,NA,NA,610,626,622,626,14-06-06,26-06-06,NA,NA,NA,10-06-06,26-06-06,22-06-06,26-06-06,10-06-06,NA,18.9,6.3,10-06-06,NA,17.9,6.4,NA,NA,NA,NA,18.9,10-06-06,4.184466019,10-06-06,11-05-06,16-05-06,-4.184466019,NA,NA,02-06-06,26-06-06,M,NA
2006,B,1,SP,U,U,501,NA,NA,802109744,CA241,NA,NA,NA,NA,NA,NA,NA,M,F,NA,2006-B-1,NA,2006,2006-NA,NA,NA,18-05-06,18-05-06,18-05-06,18-05-06,501,502,526,HATCH,23.96373333,-106.91215,1,3,01-05-06,02-05-06,26-05-06,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-05-06,NA,NA,NA,18-05-06,18-05-06,NA,NA
2006,B,2,SP,U,U,504,529,NA,802122903,CA245,CA023,NA,NA,NA,NA,NA,NA,M,F,RX.MX|WX.WX,2006-B-2,2006,2006,2006-RX.MX|WX.WX,NA,NA,07-05-06,07-05-06,07-05-06,07-05-06,504,502,529,HATCH,23.96378333,-106.91195,1,2,04-05-06,02-05-06,29-05-06,29-05-06,529,627,NA,0,13,NA,NA,529,627,627,NA,29-05-06,27-06-06,NA,NA,NA,29-05-06,27-06-06,27-06-06,NA,29-05-06,NA,18.2,6.3,NA,NA,NA,NA,NA,NA,NA,NA,18.2,29-05-06,1.919093851,29-05-06,02-05-06,04-05-06,-1.919093851,NA,NA,07-05-06,27-06-06,NA,NA
