,year,site,nest,ring,mate_ring,chick1,chick2,chick3,field_sex_focal,mol_sex_focal,captured_focalyear_focal,field_sex_mate,mol_sex_mate,captured_focalyear_mate,comments_field,comments_stdfile,code,nest.id,year.cr,year.mr,first.res,last.res,first.cap.r,last.cap.r,fate,northing,easting,no_chicks,clutch_size,laying_date.r,found_date.r,end_date.r,times.adult.not.seen,total.brood.res,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,estimated.hd,layingdate,check.estld,first.d.seen,last.d.seen
1,2007,S,-10,CA1059,CA1058,CA1060,CA1061,NA,M,M,yes,F,F,yes,NA,NA,MX.RX|BX.RX,2007-S--10,2007,2007,31/12/2007,31/12/2007,08/11/2007,08/11/2007,NA,NA,NA,NA,NA,NA,NA,NA,3,11,08/11/2007,28/11/2007,NA,NA,NA,15/10/2007,28/11/2007,28/11/2007,NA,08/11/2007,7.42,19.8,6.2,08/11/2007,8.7,21.3,6.2,NA,NA,NA,NA,21.3,08/11/2007,4.755555556,08/11/2007,09/10/2007,03/11/2007,09/10/2007,NA,08/11/2007,31/12/2007
2,2007,S,-12,CA1120,CA1121,CA1122,CA1123,CA1124,M,NA,yes,F,M,no,NA,NA,MX.OX|GX.YX,2007-S--12,2007,2007,NA,NA,25/11/2007,25/11/2007,NA,NA,NA,NA,NA,NA,NA,NA,0,3,25/11/2007,28/11/2007,NA,NA,NA,25/11/2007,28/11/2007,28/11/2007,NA,25/11/2007,9.3,22.4,7.1,25/11/2007,9.4,21.6,6.5,25/11/2007,9.8,21.9,6.3,22.4,25/11/2007,7.2,25/11/2007,23/10/2007,17/11/2007,23/10/2007,NA,25/11/2007,28/11/2007
3,2007,S,-13,CA1126,CA1125,CA1127,NA,NA,M,NA,yes,F,NA,yes,NA,NA,MX.OX|RX.BX,2007-S--13,2007,2007,NA,NA,26/11/2007,26/11/2007,NA,NA,NA,NA,NA,NA,NA,NA,0,1,26/11/2007,26/11/2007,NA,NA,NA,26/11/2007,26/11/2007,26/11/2007,NA,26/11/2007,8.7,22.2,5.2,NA,NA,NA,NA,NA,NA,NA,NA,22.2,26/11/2007,6.755555556,26/11/2007,25/10/2007,19/11/2007,25/10/2007,NA,26/11/2007,26/11/2007
4,2007,S,-2,CA1017,CA1016,XX.XX|BX.XX,XX.XX|BX.XX,XX.XX|BX.XX,M,M,yes,F,F,yes,NA,NA,BX.MX|BX.GX,2007-S--2,2007,2007,23/10/2007,25/10/2007,20/10/2007,20/10/2007,NA,NA,NA,NA,NA,NA,NA,NA,6,14,19/10/2007,12/11/2007,NA,NA,NA,14/10/2007,12/11/2007,12/11/2007,NA,20/10/2007,10.08,24.3,10,20/10/2007,9.92,23.12,9,20/10/2007,10.86,23.9,10,24.3,20/10/2007,11.42222222,20/10/2007,13/09/2007,08/10/2007,13/09/2007,NA,19/10/2007,12/11/2007
5,2007,S,-4,CA1023,CA1022,CA1024,CA1025,CA1026,M,M,yes,F,NA,yes,NA,NA,BX.MX|BX.YX,2007-S--4,2007,2007,26/11/2007,26/11/2007,22/10/2007,22/10/2007,NA,NA,NA,NA,NA,NA,NA,NA,3,9,14/10/2007,21/11/2007,NA,17/10/2007,18/10/2007,14/10/2007,21/11/2007,21/11/2007,NA,22/10/2007,11.24,26.32,13.5,22/10/2007,11.32,26.2,13,22/10/2007,12.56,27.16,15,27.16,22/10/2007,17.77777778,22/10/2007,09/09/2007,04/10/2007,09/09/2007,NA,14/10/2007,26/11/2007
6,2007,S,-6,CA1035,NA,CA1036,NA,NA,M,M,yes,F,NA,no,NA,NA,BX.MX|GX.OX,2007-S--6,2007,2007,NA,NA,23/10/2007,23/10/2007,NA,NA,NA,NA,NA,NA,NA,NA,4,8,20/10/2007,13/11/2007,NA,NA,NA,15/10/2007,13/11/2007,13/11/2007,NA,23/10/2007,12.18,27.2,12.5,NA,NA,NA,NA,NA,NA,NA,NA,27.2,23/10/2007,17.86666667,23/10/2007,10/09/2007,05/10/2007,10/09/2007,NA,20/10/2007,13/11/2007
7,2007,S,-7,CA1037,NA,CA1038,CA1039,NA,M,M,yes,F,NA,no,NA,NA,BX.MX|GX.WX,2007-S--7,2007,2007,25/10/2007,31/12/2007,23/10/2007,23/10/2007,NA,NA,NA,NA,NA,NA,NA,NA,5,7,18/10/2007,23/10/2007,10/11/2007,23/10/2007,10/11/2007,15/10/2007,24/11/2007,24/11/2007,NA,23/10/2007,13.1,26.14,16.5,23/10/2007,12.68,28.32,19.5,NA,NA,NA,NA,28.32,23/10/2007,20.35555556,23/10/2007,07/09/2007,02/10/2007,07/09/2007,NA,18/10/2007,31/12/2007
8,2007,S,-8,CA1041,CA1042,CA1043,NA,NA,M,M,yes,F,F,yes,NA,NA,BX.MX|LX.LX,2007-S--8,2007,2007,NA,NA,24/10/2007,24/10/2007,NA,NA,NA,NA,NA,NA,NA,NA,1,4,15/10/2007,24/10/2007,NA,NA,NA,15/10/2007,24/10/2007,24/10/2007,NA,24/10/2007,12.6,25.6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,25.6,24/10/2007,14.31111111,24/10/2007,14/09/2007,09/10/2007,14/09/2007,NA,15/10/2007,24/10/2007
9,2007,S,19,CA1032,XX.XX|GX.RX,CA1033,CA1034,NA,M,M,yes,F,NA,yes,NA,NA,BX.MX|RX.LX,2007-S-19,2007,2007,NA,NA,17/10/2007,17/10/2007,HATCH,1676090,260664,2,3,06/10/2007,17/10/2007,21/10/2007,2,10,23/10/2007,28/11/2007,NA,NA,NA,23/10/2007,28/11/2007,28/11/2007,NA,23/10/2007,7.64,20.18,6,23/10/2007,7.32,21.58,6,NA,NA,NA,NA,21.58,23/10/2007,5.377777778,23/10/2007,22/09/2007,17/10/2007,06/10/2007,-13.37777778,17/10/2007,28/11/2007
10,2007,S,2,CA1047,XX.XX|RX.RX,CA1048,CA1049,NA,M,M,yes,F,NA,yes,NA,NA,BX.MX|YX.RX,2007-S-2,2007,2007,NA,NA,17/10/2007,17/10/2007,HATCH,1676869,260370,2,2,25/09/2007,25/09/2007,21/10/2007,0,11,24/10/2007,28/11/2007,NA,NA,NA,24/10/2007,28/11/2007,25/11/2007,28/11/2007,24/10/2007,9.88,22.14,7,24/10/2007,8.46,21.04,7,NA,NA,NA,NA,22.14,24/10/2007,6.622222222,24/10/2007,22/09/2007,17/10/2007,25/09/2007,-2.622222222,17/10/2007,28/11/2007
