year,site,nest,species,ring,mate_ring,chick1,chick2,chick3,field_sex_focal,captured_focalyear_focal,field_sex_mate,captured_focalyear_mate,comments_field,comments_stdfile,code,nest.id,year.cr,year.mr,first.res,last.res,first.cap.r,last.cap.r,fate,northing,easting,no_chicks,clutch_size,laying_date.r,found_date.r,end_date.r,times.adult.not.seen,total.brood.res,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,estimated.hd,layingdate,check.estld,first.d.seen,last.d.seen,mol_sex_focal,mol_sex_mate
2007,S,-10,KP,CA1059,CA1058,CA1060,CA1061,NA,M,yes,F,yes,NA,NA,MX.RX|BX.RX,2007-S--10,2007,2007,31-12-07,31-12-07,08-11-07,08-11-07,NA,NA,NA,NA,NA,NA,NA,NA,3,11,08-11-07,28-11-07,NA,NA,NA,15-10-07,28-11-07,28-11-07,NA,08-11-07,7.42,19.8,6.2,08-11-07,8.7,21.3,6.2,NA,NA,NA,NA,21.3,08-11-07,4.755555556,08-11-07,09-10-07,03-11-07,09-10-07,NA,08-11-07,31-12-07,M,F
2007,S,-12,KP,CA1120,CA1121,CA1122,CA1123,CA1124,M,yes,F,no,NA,NA,MX.OX|GX.YX,2007-S--12,2007,2007,NA,NA,25-11-07,25-11-07,NA,NA,NA,NA,NA,NA,NA,NA,0,3,25-11-07,28-11-07,NA,NA,NA,25-11-07,28-11-07,28-11-07,NA,25-11-07,9.3,22.4,7.1,25-11-07,9.4,21.6,6.5,25-11-07,9.8,21.9,6.3,22.4,25-11-07,7.2,25-11-07,23-10-07,17-11-07,23-10-07,NA,25-11-07,28-11-07,M,M
2007,S,-13,KP,CA1126,CA1125,CA1127,NA,NA,M,yes,F,yes,NA,NA,MX.OX|RX.BX,2007-S--13,2007,2007,NA,NA,26-11-07,26-11-07,NA,NA,NA,NA,NA,NA,NA,NA,0,1,26-11-07,26-11-07,NA,NA,NA,26-11-07,26-11-07,26-11-07,NA,26-11-07,8.7,22.2,5.2,NA,NA,NA,NA,NA,NA,NA,NA,22.2,26-11-07,6.755555556,26-11-07,25-10-07,19-11-07,25-10-07,NA,26-11-07,26-11-07,M,F
2007,S,-2,KP,CA1017,CA1016,XX.XX|BX.XX,XX.XX|BX.XX,XX.XX|BX.XX,M,yes,F,yes,NA,NA,BX.MX|BX.GX,2007-S--2,2007,2007,23-10-07,25-10-07,20-10-07,20-10-07,NA,NA,NA,NA,NA,NA,NA,NA,6,14,19-10-07,12-11-07,NA,NA,NA,14-10-07,12-11-07,12-11-07,NA,20-10-07,10.08,24.3,10,20-10-07,9.92,23.12,9,20-10-07,10.86,23.9,10,24.3,20-10-07,11.42222222,20-10-07,13-09-07,08-10-07,13-09-07,NA,19-10-07,12-11-07,M,F
2007,S,-4,KP,CA1023,CA1022,CA1024,CA1025,CA1026,M,yes,F,yes,NA,NA,BX.MX|BX.YX,2007-S--4,2007,2007,26-11-07,26-11-07,22-10-07,22-10-07,NA,NA,NA,NA,NA,NA,NA,NA,3,9,14-10-07,21-11-07,NA,17-10-07,18-10-07,14-10-07,21-11-07,21-11-07,NA,22-10-07,11.24,26.32,13.5,22-10-07,11.32,26.2,13,22-10-07,12.56,27.16,15,27.16,22-10-07,17.77777778,22-10-07,09-09-07,04-10-07,09-09-07,NA,14-10-07,26-11-07,M,NA
2007,S,-6,KP,CA1035,NA,CA1036,NA,NA,M,yes,F,no,NA,NA,BX.MX|GX.OX,2007-S--6,2007,2007,NA,NA,23-10-07,23-10-07,NA,NA,NA,NA,NA,NA,NA,NA,4,8,20-10-07,13-11-07,NA,NA,NA,15-10-07,13-11-07,13-11-07,NA,23-10-07,12.18,27.2,12.5,NA,NA,NA,NA,NA,NA,NA,NA,27.2,23-10-07,17.86666667,23-10-07,10-09-07,05-10-07,10-09-07,NA,20-10-07,13-11-07,M,NA
2007,S,-7,KP,CA1037,NA,CA1038,CA1039,NA,M,yes,F,no,NA,NA,BX.MX|GX.WX,2007-S--7,2007,2007,25-10-07,31-12-07,23-10-07,23-10-07,NA,NA,NA,NA,NA,NA,NA,NA,5,7,18-10-07,23-10-07,10-11-07,23-10-07,10-11-07,15-10-07,24-11-07,24-11-07,NA,23-10-07,13.1,26.14,16.5,23-10-07,12.68,28.32,19.5,NA,NA,NA,NA,28.32,23-10-07,20.35555556,23-10-07,07-09-07,02-10-07,07-09-07,NA,18-10-07,31-12-07,M,NA
2007,S,-8,KP,CA1041,CA1042,CA1043,NA,NA,M,yes,F,yes,NA,NA,BX.MX|LX.LX,2007-S--8,2007,2007,NA,NA,24-10-07,24-10-07,NA,NA,NA,NA,NA,NA,NA,NA,1,4,15-10-07,24-10-07,NA,NA,NA,15-10-07,24-10-07,24-10-07,NA,24-10-07,12.6,25.6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,25.6,24-10-07,14.31111111,24-10-07,14-09-07,09-10-07,14-09-07,NA,15-10-07,24-10-07,M,F
2007,S,19,KP,CA1032,XX.XX|GX.RX,CA1033,CA1034,NA,M,yes,F,yes,NA,NA,BX.MX|RX.LX,2007-S-19,2007,2007,NA,NA,17-10-07,17-10-07,HATCH,1676090,260664,2,3,06-10-07,17-10-07,21-10-07,2,10,23-10-07,28-11-07,NA,NA,NA,23-10-07,28-11-07,28-11-07,NA,23-10-07,7.64,20.18,6,23-10-07,7.32,21.58,6,NA,NA,NA,NA,21.58,23-10-07,5.377777778,23-10-07,22-09-07,17-10-07,06-10-07,-13.37777778,17-10-07,28-11-07,M,NA
2007,S,2,KP,CA1047,XX.XX|RX.RX,CA1048,CA1049,NA,M,yes,F,yes,NA,NA,BX.MX|YX.RX,2007-S-2,2007,2007,NA,NA,17-10-07,17-10-07,HATCH,1676869,260370,2,2,25-09-07,25-09-07,21-10-07,0,11,24-10-07,28-11-07,NA,NA,NA,24-10-07,28-11-07,25-11-07,28-11-07,24-10-07,9.88,22.14,7,24-10-07,8.46,21.04,7,NA,NA,NA,NA,22.14,24-10-07,6.622222222,24-10-07,22-09-07,17-10-07,25-09-07,-2.622222222,17-10-07,28-11-07,M,NA
2007,S,23,KP,CA1052,CA1018,CA1053,CA1054,NA,M,yes,F,yes,NA,NA,MX.RX|BX.BX,2007-S-23,2007,2007,NA,NA,05-11-07,05-11-07,HATCH,1677532,260195,NA,3,11-10-07,19-10-07,NA,0,11,05-11-07,28-11-07,NA,NA,NA,05-11-07,28-11-07,28-11-07,NA,05-11-07,9.48,23.16,9,05-11-07,10,22.2,8.8,NA,NA,NA,NA,23.16,05-11-07,8.888888889,05-11-07,02-10-07,27-10-07,11-10-07,-8.888888889,05-11-07,28-11-07,M,NA
2007,S,25,KP,CA1101,CA1029,CA1102,CA1103,NA,M,yes,F,yes,NA,NA,MX.OX|GX.GX,2007-S-25,2007,2007,28-11-07,31-12-07,11-11-07,11-11-07,HATCH,1676198,260585,2,3,14-10-07,22-10-07,11-11-07,0,4,12-11-07,22-11-07,NA,NA,NA,12-11-07,22-11-07,16-11-07,22-11-07,11-11-07,6.9,18.4,6.9,11-11-07,7.8,19.8,6.7,NA,NA,NA,NA,19.8,11-11-07,1.422222222,11-11-07,15-10-07,09-11-07,14-10-07,1.577777778,11-11-07,31-12-07,NA,F
2007,S,28,KP,CA1055,NA,NA,NA,NA,M,yes,F,no,NA,NA,MX.RX|BX.GX,2007-S-28,2007,2007,22-11-07,22-11-07,06-11-07,06-11-07,PRED,1676099,260920,NA,2,30-10-07,06-11-07,12-11-07,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-10-07,NA,06-11-07,22-11-07,M,NA
