"","pop.sp.year","layingdate","minlayingdate.10","pop.sp.year","layingdate","max.hd.est","max_hatchingdate.r","max_hd","maxhatchdate.25","breedingseasonlength"
"1","Ceuta-SP-2006",2006-04-20,2006-04-10,"Ceuta-SP-2006",2006-07-04,2006-07-29,2006-07-29,2006-07-29,2006-08-23,135
"2","Ceuta-SP-2007",2007-04-13,2007-04-03,"Ceuta-SP-2007",2007-07-06,2007-07-31,2007-07-31,2007-07-31,2007-08-25,144
"3","Ceuta-SP-2008",2008-04-14,2008-04-04,"Ceuta-SP-2008",2008-06-24,2008-07-19,2008-07-19,2008-07-19,2008-08-13,131
"4","Ceuta-SP-2009",2009-04-18,2009-04-08,"Ceuta-SP-2009",2009-07-05,2009-07-30,2009-07-30,2009-07-30,2009-08-24,138
"5","Ceuta-SP-2010",2010-03-21,2010-03-11,"Ceuta-SP-2010",2010-06-25,2010-07-20,2010-07-20,2010-07-20,2010-08-14,156
"6","Ceuta-SP-2011",2011-04-15,2011-04-05,"Ceuta-SP-2011",2011-06-26,2011-07-21,2011-07-21,2011-07-21,2011-08-15,132
"7","Ceuta-SP-2012",2012-04-30,2012-04-20,"Ceuta-SP-2012",2012-06-09,2012-07-04,2012-07-04,2012-07-04,2012-07-29,100
"8","Madagascar-KiP-2009",2009-04-03,2009-03-24,"Madagascar-KiP-2009",2009-06-18,2009-07-13,NA,2009-07-13,2009-08-07,136
"9","Madagascar-KiP-2010",2010-02-14,2010-02-04,"Madagascar-KiP-2010",2010-04-02,2010-04-27,2010-04-27,2010-04-27,2010-05-22,107
"10","Madagascar-KiP-2012",2012-02-26,2012-02-16,"Madagascar-KiP-2012",2012-05-14,2012-06-08,2012-06-08,2012-06-08,2012-07-03,138
"11","Madagascar-KiP-2013",2013-03-01,2013-02-19,"Madagascar-KiP-2013",2013-06-07,2013-07-02,2013-07-02,2013-07-02,2013-07-27,158
"12","Madagascar-KiP-2014",2014-01-28,2014-01-18,"Madagascar-KiP-2014",2014-10-07,2014-11-01,2014-11-01,2014-11-01,2014-11-26,312
"13","Madagascar-KiP-2015",2015-03-07,2015-02-25,"Madagascar-KiP-2015",2015-06-10,2015-07-05,2015-07-05,2015-07-05,2015-07-30,155
"14","Madagascar-MP-2008",2008-10-18,2008-10-08,"Madagascar-MP-2008",2008-10-24,2008-11-18,NA,2008-11-18,2008-12-13,66
"15","Madagascar-MP-2009",2009-01-24,2009-01-14,"Madagascar-MP-2009",2009-04-06,2009-05-01,NA,2009-05-01,2009-05-26,132
"16","Madagascar-MP-2010",2010-01-23,2010-01-13,"Madagascar-MP-2010",2010-03-24,2010-04-18,2010-04-18,2010-04-18,2010-05-13,120
"17","Madagascar-MP-2013",2013-03-03,2013-02-21,"Madagascar-MP-2013",2013-05-09,2013-06-03,2013-06-04,2013-06-04,2013-06-29,128
"18","Madagascar-MP-2014",2014-01-14,2014-01-04,"Madagascar-MP-2014",2014-11-05,2014-11-30,2014-11-30,2014-11-30,2014-12-25,355
"19","Madagascar-MP-2015",2015-03-09,2015-02-27,"Madagascar-MP-2015",2015-05-23,2015-06-17,2015-06-17,2015-06-17,2015-07-12,135
"20","Madagascar-WfP-2009",2009-02-08,2009-01-29,"Madagascar-WfP-2009",2009-05-13,2009-06-07,2009-06-07,2009-06-07,2009-07-02,154
"21","Madagascar-WfP-2010",2010-03-19,2010-03-09,"Madagascar-WfP-2010",2010-03-25,2010-04-19,NA,2010-04-19,2010-05-14,66
"22","Madagascar-WfP-2012",2012-03-14,2012-03-04,"Madagascar-WfP-2012",2012-05-19,2012-06-13,2012-06-13,2012-06-13,2012-07-08,126
"23","Madagascar-WfP-2013",2013-03-07,2013-02-25,"Madagascar-WfP-2013",2013-06-04,2013-06-29,2013-06-29,2013-06-29,2013-07-24,149
"24","Madagascar-WfP-2014",2014-02-10,2014-01-31,"Madagascar-WfP-2014",2014-05-29,2014-06-23,2014-06-23,2014-06-23,2014-07-18,168
"25","Madagascar-WfP-2015",2015-03-08,2015-02-26,"Madagascar-WfP-2015",2015-06-18,2015-07-13,2015-07-13,2015-07-13,2015-08-07,162
"26","Maio-KP-2007",2007-09-07,2007-08-28,"Maio-KP-2007",2007-11-09,2007-12-04,NA,2007-12-04,2007-12-29,123
"27","Maio-KP-2008",2008-08-12,2008-08-02,"Maio-KP-2008",2008-10-21,2008-11-15,NA,2008-11-15,2008-12-10,130
"28","Maio-KP-2009",2009-09-03,2009-08-24,"Maio-KP-2009",2009-11-29,2009-12-24,NA,2009-12-24,2010-01-18,147
"29","Maio-KP-2010",2010-08-21,2010-08-11,"Maio-KP-2010",2010-11-11,2010-12-06,NA,2010-12-06,2010-12-31,142
"30","Maio-KP-2011",2011-09-11,2011-09-01,"Maio-KP-2011",2011-10-08,2011-11-02,NA,2011-11-02,2011-11-27,87
"31","Maio-KP-2012",2012-09-03,2012-08-24,"Maio-KP-2012",2012-11-10,2012-12-05,NA,2012-12-05,2012-12-30,128
"32","Maio-KP-2013",2013-08-14,2013-08-04,"Maio-KP-2013",2013-10-29,2013-11-23,NA,2013-11-23,2013-12-18,136
"33","Maio-KP-2014",2014-03-24,2014-03-14,"Maio-KP-2014",2014-11-18,2014-12-13,NA,2014-12-13,2015-01-07,299
